# cameras: 0=6C707041-05AC-0010-0006-000000000001,1=0x21400000525a4b1,2=0x11000000525a4b1
sync_index,port,frame_index,frame_time
0,0,0,0.0027046247851103544
0,1,0,0.0027046247851103544
0,2,0,0.0027046247851103544
1,0,1,0.03862791694700718
1,1,1,0.03862791694700718
1,2,1,0.03862791694700718
2,0,2,0.0695159169845283
2,1,2,0.0695159169845283
2,2,2,0.0695159169845283
3,0,3,0.10695379180833697
3,1,3,0.10695379180833697
3,2,3,0.10695379180833697
4,0,4,0.13906579185277224
4,1,4,0.13906579185277224
4,2,4,0.13906579185277224
5,0,5,0.17205004184506834
5,1,5,0.17205004184506834
5,2,5,0.17205004184506834
6,0,6,0.20720408391207457
6,1,6,0.20720408391207457
6,2,6,0.20720408391207457
7,0,7,0.24024229194037616
7,1,7,0.24024229194037616
7,2,7,0.24024229194037616
8,0,8,0.2740794999990612
8,1,8,0.2740794999990612
8,2,8,0.2740794999990612
9,0,9,0.3034444998484105
9,1,9,0.3034444998484105
9,2,9,0.3034444998484105
10,0,10,0.3405070418957621
10,1,10,0.3405070418957621
10,2,10,0.3405070418957621
11,0,11,0.372787166852504
11,1,11,0.372787166852504
11,2,11,0.372787166852504
12,0,12,0.406269249971956
12,1,12,0.406269249971956
12,2,12,0.406269249971956
13,0,13,0.43924433388747275
13,1,13,0.43924433388747275
13,2,13,0.43924433388747275
14,0,14,0.4700781248975545
14,1,14,0.4700781248975545
14,2,14,0.4700781248975545
15,0,15,0.5067899997811764
15,1,15,0.5067899997811764
15,2,15,0.5067899997811764
16,0,16,0.5389864589087665
16,1,16,0.5389864589087665
16,2,16,0.5389864589087665
17,0,17,0.5712141247931868
17,1,17,0.5712141247931868
17,2,17,0.5712141247931868
18,0,18,0.60707270889543
18,1,18,0.60707270889543
18,2,18,0.60707270889543
19,0,19,0.6402999998535961
19,1,19,0.6402999998535961
19,2,19,0.6402999998535961
20,0,20,0.6720894169993699
20,1,20,0.6720894169993699
20,2,20,0.6720894169993699
21,0,21,0.7071615417953581
21,1,21,0.7071615417953581
21,2,21,0.7071615417953581
22,0,22,0.7389779170043766
22,1,22,0.7389779170043766
22,2,22,0.7389779170043766
23,0,23,0.7744000838138163
23,1,23,0.7744000838138163
23,2,23,0.7744000838138163
24,0,24,0.8056391668505967
24,1,24,0.8056391668505967
24,2,24,0.8056391668505967
25,0,25,0.8395905417855829
25,1,25,0.8395905417855829
25,2,25,0.8395905417855829
26,0,26,0.8729059998877347
26,1,26,0.8729059998877347
26,2,26,0.8729059998877347
27,0,27,0.9058129999320954
27,1,27,0.9058129999320954
27,2,27,0.9058129999320954
28,0,28,0.9388335838448256
28,1,28,0.9388335838448256
28,2,28,0.9388335838448256
29,0,29,0.9734912919811904
29,1,29,0.9734912919811904
29,2,29,0.9734912919811904
30,0,30,1.0064304589759558
30,1,30,1.0064304589759558
30,2,30,1.0064304589759558
31,0,31,1.0394497918896377
31,1,31,1.0394497918896377
31,2,31,1.0394497918896377
32,0,32,1.0730829588137567
32,1,32,1.0730829588137567
32,2,32,1.0730829588137567
33,0,33,1.10607474995777
33,1,33,1.10607474995777
33,2,33,1.10607474995777
34,0,34,1.1387540840078145
34,1,34,1.1387540840078145
34,2,34,1.1387540840078145
35,0,35,1.173243791796267
35,1,35,1.173243791796267
35,2,35,1.173243791796267
36,0,36,1.2060623748693615
36,1,36,1.2060623748693615
36,2,36,1.2060623748693615
37,0,37,1.2393534169532359
37,1,37,1.2393534169532359
37,2,37,1.2393534169532359
38,0,38,1.2720469168853015
38,1,38,1.2720469168853015
38,2,38,1.2720469168853015
39,0,39,1.306381959002465
39,1,39,1.306381959002465
39,2,39,1.306381959002465
40,0,40,1.339126791805029
40,1,40,1.339126791805029
40,2,40,1.339126791805029
41,0,41,1.3709833337925375
41,1,41,1.3709833337925375
41,2,41,1.3709833337925375
42,0,42,1.405768624972552
42,1,42,1.405768624972552
42,2,42,1.405768624972552
43,0,43,1.4379862919449806
43,1,43,1.4379862919449806
43,2,43,1.4379862919449806
44,0,44,1.4719936668407172
44,1,44,1.4719936668407172
44,2,44,1.4719936668407172
45,0,45,1.502889041788876
45,1,45,1.502889041788876
45,2,45,1.502889041788876
46,0,46,1.5392355839721859
46,1,46,1.5392355839721859
46,2,46,1.5392355839721859
47,0,47,1.5716997089330107
47,1,47,1.5716997089330107
47,2,47,1.5716997089330107
48,0,48,1.6053280418273062
48,1,48,1.6053280418273062
48,2,48,1.6053280418273062
49,0,49,1.6382997499313205
49,1,49,1.6382997499313205
49,2,49,1.6382997499313205
50,0,50,1.6715922500006855
50,1,50,1.6715922500006855
50,2,50,1.6715922500006855
51,0,51,1.7055237498134375
51,1,51,1.7055237498134375
51,2,51,1.7055237498134375
52,0,52,1.7391591249033809
52,1,52,1.7391591249033809
52,2,52,1.7391591249033809
53,0,53,1.7700780418235809
53,1,53,1.7700780418235809
53,2,53,1.7700780418235809
54,0,54,1.8057049168273807
54,1,54,1.8057049168273807
54,2,54,1.8057049168273807
55,0,55,1.8385319169610739
55,1,55,1.8385319169610739
55,2,55,1.8385319169610739
56,0,56,1.8727655839174986
56,1,56,1.8727655839174986
56,2,56,1.8727655839174986
57,0,57,1.9047287087887526
57,1,57,1.9047287087887526
57,2,57,1.9047287087887526
58,0,58,1.9395431668963283
58,1,58,1.9395431668963283
58,2,58,1.9395431668963283
59,0,59,1.9723122918512672
59,1,59,1.9723122918512672
59,2,59,1.9723122918512672
60,0,60,2.0052162089850754
60,1,60,2.0052162089850754
60,2,60,2.0052162089850754
61,0,61,2.0371728339232504
61,1,61,2.0371728339232504
61,2,61,2.0371728339232504
62,0,62,2.0725114999804646
62,1,62,2.0725114999804646
62,2,62,2.0725114999804646
63,0,63,2.10521254199557
63,1,63,2.10521254199557
63,2,63,2.10521254199557
64,0,64,2.1382834168616682
64,1,64,2.1382834168616682
64,2,64,2.1382834168616682
65,0,65,2.171756333904341
65,1,65,2.171756333904341
65,2,65,2.171756333904341
66,0,66,2.2028419168200344
66,1,66,2.2028419168200344
66,2,66,2.2028419168200344
67,0,67,2.238505208864808
67,1,67,2.238505208864808
67,2,67,2.238505208864808
68,0,68,2.2735245837830007
68,1,68,2.2735245837830007
68,2,68,2.2735245837830007
69,0,69,2.3036237498745322
69,1,69,2.3036237498745322
69,2,69,2.3036237498745322
70,0,70,2.3379457918927073
70,1,70,2.3379457918927073
70,2,70,2.3379457918927073
71,0,71,2.37265520892106
71,1,71,2.37265520892106
71,2,71,2.37265520892106
72,0,72,2.4055275837890804
72,1,72,2.4055275837890804
72,2,72,2.4055275837890804
73,0,73,2.438789499923587
73,1,73,2.438789499923587
73,2,73,2.438789499923587
74,0,74,2.4717725419905037
74,1,74,2.4717725419905037
74,2,74,2.4717725419905037
75,0,75,2.5051699997857213
75,1,75,2.5051699997857213
75,2,75,2.5051699997857213
76,0,76,2.538064166903496
76,1,76,2.538064166903496
76,2,76,2.538064166903496
77,0,77,2.57250558398664
77,1,77,2.57250558398664
77,2,77,2.57250558398664
78,0,78,2.6058839168399572
78,1,78,2.6058839168399572
78,2,78,2.6058839168399572
79,0,79,2.6390937499236315
79,1,79,2.6390937499236315
79,2,79,2.6390937499236315
80,0,80,2.672723874915391
80,1,80,2.672723874915391
80,2,80,2.672723874915391
81,0,81,2.7044459998141974
81,1,81,2.7044459998141974
81,2,81,2.7044459998141974
82,0,82,2.7388650418724865
82,1,82,2.7388650418724865
82,2,82,2.7388650418724865
83,0,83,2.7725342919584364
83,1,83,2.7725342919584364
83,2,83,2.7725342919584364
84,0,84,2.8057117918506265
84,1,84,2.8057117918506265
84,2,84,2.8057117918506265
85,0,85,2.839047374902293
85,1,85,2.839047374902293
85,2,85,2.839047374902293
86,0,86,2.87241483386606
86,1,86,2.87241483386606
86,2,86,2.87241483386606
87,0,87,2.9062737917993218
87,1,87,2.9062737917993218
87,2,87,2.9062737917993218
88,0,88,2.9391161669045687
88,1,88,2.9391161669045687
88,2,88,2.9391161669045687
89,0,89,2.9717547087930143
89,1,89,2.9717547087930143
89,2,89,2.9717547087930143
90,0,90,3.005857708863914
90,1,90,3.005857708863914
90,2,90,3.005857708863914
91,0,91,3.039077333873138
91,1,91,3.039077333873138
91,2,91,3.039077333873138
92,0,92,3.0728614169638604
92,1,92,3.0728614169638604
92,2,92,3.0728614169638604
93,0,93,3.105499208904803
93,1,93,3.105499208904803
93,2,93,3.105499208904803
94,0,94,3.139014291809872
94,1,94,3.139014291809872
94,2,94,3.139014291809872
95,0,95,3.1724001669790596
95,1,95,3.1724001669790596
95,2,95,3.1724001669790596
96,0,96,3.2053003748878837
96,1,96,3.2053003748878837
96,2,96,3.2053003748878837
97,0,97,3.238439125008881
97,1,97,3.238439125008881
97,2,97,3.238439125008881
98,0,98,3.272221041843295
98,1,98,3.272221041843295
98,2,98,3.272221041843295
99,0,99,3.3062605417799205
99,1,99,3.3062605417799205
99,2,99,3.3062605417799205
100,0,100,3.3395792089868337
100,1,100,3.3395792089868337
100,2,100,3.3395792089868337
101,0,101,3.3717877918388695
101,1,101,3.3717877918388695
101,2,101,3.3717877918388695
102,0,102,3.406071458943188
102,1,102,3.406071458943188
102,2,102,3.406071458943188
103,0,103,3.438170999987051
103,1,103,3.438170999987051
103,2,103,3.438170999987051
104,0,104,3.4723217498976737
104,1,104,3.4723217498976737
104,2,104,3.4723217498976737
105,0,105,3.5033052088692784
105,1,105,3.5033052088692784
105,2,105,3.5033052088692784
106,0,106,3.5392990838736296
106,1,106,3.5392990838736296
106,2,106,3.5392990838736296
107,0,107,3.5721308749634773
107,1,107,3.5721308749634773
107,2,107,3.5721308749634773
108,0,108,3.604724458884448
108,1,108,3.604724458884448
108,2,108,3.604724458884448
109,0,109,3.6381170419044793
109,1,109,3.6381170419044793
109,2,109,3.6381170419044793
110,0,110,3.6693725418299437
110,1,110,3.6693725418299437
110,2,110,3.6693725418299437
111,0,111,3.7058458749670535
111,1,111,3.7058458749670535
111,2,111,3.7058458749670535
112,0,112,3.7384814999531955
112,1,112,3.7384814999531955
112,2,112,3.7384814999531955
113,0,113,3.771733291912824
113,1,113,3.771733291912824
113,2,113,3.771733291912824
114,0,114,3.80604587495327
114,1,114,3.80604587495327
114,2,114,3.80604587495327
115,0,115,3.838622833834961
115,1,115,3.838622833834961
115,2,115,3.838622833834961
116,0,116,3.871616499964148
116,1,116,3.871616499964148
116,2,116,3.871616499964148
117,0,117,3.9060109588317573
117,1,117,3.9060109588317573
117,2,117,3.9060109588317573
118,0,118,3.9383744997903705
118,1,118,3.9383744997903705
118,2,118,3.9383744997903705
119,0,119,3.9718412088695914
119,1,119,3.9718412088695914
119,2,119,3.9718412088695914
120,0,120,4.004587374860421
120,1,120,4.004587374860421
120,2,120,4.004587374860421
121,0,121,4.037339083850384
121,1,121,4.037339083850384
121,2,121,4.037339083850384
122,0,122,4.069434124976397
122,1,122,4.069434124976397
122,2,122,4.069434124976397
123,0,123,4.104886999819428
123,1,123,4.104886999819428
123,2,123,4.104886999819428
124,0,124,4.138280374929309
124,1,124,4.138280374929309
124,2,124,4.138280374929309
125,0,125,4.170829084003344
125,1,125,4.170829084003344
125,2,125,4.170829084003344
126,0,126,4.205572166945785
126,1,126,4.205572166945785
126,2,126,4.205572166945785
127,0,127,4.237680041929707
127,1,127,4.237680041929707
127,2,127,4.237680041929707
128,0,128,4.2704577089753
128,1,128,4.2704577089753
128,2,128,4.2704577089753
129,0,129,4.305737208807841
129,1,129,4.305737208807841
129,2,129,4.305737208807841
130,0,130,4.338626874843612
130,1,130,4.338626874843612
130,2,130,4.338626874843612
131,0,131,4.370940583990887
131,1,131,4.370940583990887
131,2,131,4.370940583990887
132,0,132,4.404678666964173
132,1,132,4.404678666964173
132,2,132,4.404678666964173
133,0,133,4.438761166995391
133,1,133,4.438761166995391
133,2,133,4.438761166995391
134,0,134,4.4697237918153405
134,1,134,4.4697237918153405
134,2,134,4.4697237918153405
135,0,135,4.504301291890442
135,1,135,4.504301291890442
135,2,135,4.504301291890442
136,0,136,4.537989416858181
136,1,136,4.537989416858181
136,2,136,4.537989416858181
137,0,137,4.5727215418592095
137,1,137,4.5727215418592095
137,2,137,4.5727215418592095
138,0,138,4.602250916883349
138,1,138,4.602250916883349
138,2,138,4.602250916883349
139,0,139,4.636183749884367
139,1,139,4.636183749884367
139,2,139,4.636183749884367
140,0,140,4.671099416911602
140,1,140,4.671099416911602
140,2,140,4.671099416911602
141,0,141,4.704486083937809
141,1,141,4.704486083937809
141,2,141,4.704486083937809
142,0,142,4.736009624786675
142,1,142,4.736009624786675
142,2,142,4.736009624786675
143,0,143,4.77302624983713
143,1,143,4.77302624983713
143,2,143,4.77302624983713
144,0,144,4.803455124842003
144,1,144,4.803455124842003
144,2,144,4.803455124842003
145,0,145,4.836472208844498
145,1,145,4.836472208844498
145,2,145,4.836472208844498
146,0,146,4.871299291960895
146,1,146,4.871299291960895
146,2,146,4.871299291960895
147,0,147,4.903838666854426
147,1,147,4.903838666854426
147,2,147,4.903838666854426
148,0,148,4.937551041832194
148,1,148,4.937551041832194
148,2,148,4.937551041832194
149,0,149,4.971856999909505
