# cameras: 0=6C707041-05AC-0010-0006-000000000001,1=0x21400000525a4b1
sync_index,port,frame_index,frame_time
0,0,0,0.0020723328925669193
0,1,0,0.0020723328925669193
1,0,1,0.03554008295759559
1,1,1,0.03554008295759559
2,0,2,0.07318958290852606
2,1,2,0.07318958290852606
3,0,3,0.10588895808905363
3,1,3,0.10588895808905363
4,0,4,0.13947033300064504
4,1,4,0.13947033300064504
5,0,5,0.17271008295938373
5,1,5,0.17271008295938373
6,0,6,0.20369950006715953
6,1,6,0.20369950006715953
7,0,7,0.2394234579987824
7,1,7,0.2394234579987824
8,0,8,0.27086679195053875
8,1,8,0.27086679195053875
9,0,9,0.30622441694140434
9,1,9,0.30622441694140434
10,0,10,0.33764174999669194
10,1,10,0.33764174999669194
11,0,11,0.3737064579036087
11,1,11,0.3737064579036087
12,0,12,0.40595783293247223
12,1,12,0.40595783293247223
13,0,13,0.4397539170458913
13,1,13,0.4397539170458913
14,0,14,0.47310158307664096
14,1,14,0.47310158307664096
15,0,15,0.506508250022307
15,1,15,0.506508250022307
16,0,16,0.5371942920610309
16,1,16,0.5371942920610309
17,0,17,0.5701351668685675
17,1,17,0.5701351668685675
18,0,18,0.6069532500114292
18,1,18,0.6069532500114292
19,0,19,0.6388519580941647
19,1,19,0.6388519580941647
20,0,20,0.6722664169501513
20,1,20,0.6722664169501513
21,0,21,0.7061575830448419
21,1,21,0.7061575830448419
22,0,22,0.7389320828951895
22,1,22,0.7389320828951895
23,0,23,0.7727045419160277
23,1,23,0.7727045419160277
24,0,24,0.8059720420278609
24,1,24,0.8059720420278609
25,0,25,0.8398202499374747
25,1,25,0.8398202499374747
26,0,26,0.8724872500170022
26,1,26,0.8724872500170022
27,0,27,0.906063542002812
27,1,27,0.906063542002812
28,0,28,0.9388578329235315
28,1,28,0.9388578329235315
29,0,29,0.9733846669550985
29,1,29,0.9733846669550985
30,0,30,1.0059108750429004
30,1,30,1.0059108750429004
31,0,31,1.038289749994874
31,1,31,1.038289749994874
32,0,32,1.0704613749403507
32,1,32,1.0704613749403507
33,0,33,1.1064200000837445
33,1,33,1.1064200000837445
34,0,34,1.139202916994691
34,1,34,1.139202916994691
35,0,35,1.1724852079059929
35,1,35,1.1724852079059929
36,0,36,1.2022362079005688
36,1,36,1.2022362079005688
37,0,37,1.2410355829633772
37,1,37,1.2410355829633772
38,0,38,1.2730287499725819
38,1,38,1.2730287499725819
39,0,39,1.304412042023614
39,1,39,1.304412042023614
40,0,40,1.3366367078851908
40,1,40,1.3366367078851908
41,0,41,1.3740205829963088
41,1,41,1.3740205829963088
42,0,42,1.4062002920545638
42,1,42,1.4062002920545638
43,0,43,1.4395859169308096
43,1,43,1.4395859169308096
44,0,44,1.4702851250767708
44,1,44,1.4702851250767708
45,0,45,1.505426875082776
45,1,45,1.505426875082776
46,0,46,1.5394805420655757
46,1,46,1.5394805420655757
47,0,47,1.5730623749550432
47,1,47,1.5730623749550432
48,0,48,1.6061812499538064
48,1,48,1.6061812499538064
49,0,49,1.6391512078698725
49,1,49,1.6391512078698725
