param,magnitude,unit,sign,mean_cm,median_cm,p95_cm,max_cm,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
rx,0.05,deg,+,0.10762274272318632,0.10399354863234699,0.12769440252290787,0.13329084731077978,0.10485388125185298,0.1043435962429609,0.10538390090315607,0.10376151507354855,0.1071166177115677,0.10200345598319167,0.10985791614982295,0.1002070836633241,0.111670486661056,0.10055496481249848,0.11197520553021421,0.10577267463465512,0.11063289859475928,0.10856020260285731,0.11333767932081577,0.11264382617611154,0.11691072098177503
rx,0.05,deg,-,0.10761986137938133,0.10399768499881026,0.12769465543843903,0.13329016472703287,0.10484683619502093,0.10433566642857814,0.10537625124160106,0.10375313376129072,0.10710904521722181,0.10199825124240494,0.10985367058277996,0.10020361316692174,0.11166839736207826,0.10055340135134926,0.11197366060007619,0.10577496731380524,0.11063517745729262,0.10856311449351867,0.11334140329574974,0.11264061570210157,0.11691043803769166
rx,0.1,deg,+,0.2152435619069816,0.2079735315345816,0.25538836748643934,0.2665822538552913,0.20970736040582263,0.20868672564184712,0.21076732248754868,0.20752262410994052,0.21423279737279566,0.2040065424213779,0.21971567311803658,0.20041287532454174,0.22334067772847097,0.20110829943740066,0.22394978740040897,0.21154391167215103,0.22126496874822058,0.2171161479346092,0.22667275444987622,0.22527750123148452,0.23381458293415472
rx,0.1,deg,-,0.21524144332533235,0.20800665152537332,0.2553877854667552,0.2665795240353588,0.20969388080523949,0.2086716036684508,0.21075278821100035,0.20750647440842188,0.21421833552125702,0.2039966752220349,0.21970731050193248,0.20040828612508574,0.22333690247109475,0.20110807543525588,0.2239477568316191,0.21155118841453452,0.2212709992975891,0.21713030272747877,0.22668522591214377,0.22529119059616662,0.23382754038134526
rx,0.5,deg,+,1.0761878760333095,1.0396228325868173,1.276960647922798,1.3329188727646462,1.0485993781316094,1.0435051190384717,1.0539041605160409,1.0376919615114641,1.0712315315504883,1.0200749258877535,1.0986134908677587,1.0020609024399825,1.1167085512619903,1.0055072251396484,1.1197383015612346,1.05764133237776,1.1062629918042977,1.0854158885061909,1.1332346314260613,1.1261308968906707,1.168872603654838
rx,0.5,deg,-,1.0762101609506072,1.0403353327286802,1.2768567738305594,1.3328506260726163,1.0483799813956067,1.0432598356892582,1.0536693063119142,1.037427210791519,1.0709965976032791,1.0199158501929981,1.0984733722860938,1.0020205086066285,1.1166508178531593,1.0055498625374906,1.1197207256757773,1.0578080967940637,1.1063890736289594,1.085789819757573,1.1335270255962595,1.1266853900185483,1.1693092614211922
rx,1.0,deg,+,2.152264618472704,2.0786128704241063,2.5539055621327997,2.66578291714597,2.097327103717139,2.08716402751628,2.107950688758362,2.075557980829563,2.142604212088901,2.0402245995768564,2.1972752493024084,2.0040817475454697,2.2333834698435213,2.010892365548998,2.239402502130576,2.1150354866518395,2.2123147097102036,2.1703736971443606,2.266089830123151,2.251609168958418,2.3372116745899145
rx,1.0,deg,-,2.152363101262361,2.0814602437520016,2.553449276164761,2.6655098636474994,2.0964640687877947,2.0861993355850417,2.107027181447078,2.0745161942156995,2.14168014416861,2.0395991241206404,2.196723263235015,2.0039293824676867,2.2331570235478466,2.0110689052504735,2.239336286190887,2.115700620663091,2.2128159179335034,2.171871974526212,2.267257021668728,2.2538537846483164,2.3389724930035114
rx,2.0,deg,+,4.303752931696137,4.155995156407576,5.10746680228513,5.330854170837143,4.194840681959951,4.174619299810125,4.2161416225343125,4.1514934533595405,4.285438032163827,4.080438687379591,4.3943981429723555,4.007704936257726,4.466278636198274,4.02099375091438,4.478152332971024,4.228755810416659,4.423435784085008,4.338584308203684,4.530307281466526,4.500280863801366,4.671936214339983
rx,2.0,deg,-,4.304155250330701,4.165369812274898,5.105525589780344,5.329760881736525,4.1914008645756695,4.170774635733167,4.212461179313745,4.147341133477128,4.281755023991318,4.077945745822265,4.392196715699467,4.007103447075471,4.46537591909628,4.021705299325306,4.477890633392631,4.231413977517065,4.425436985178362,4.34458064729706,4.534974252102487,4.5092876486214735,4.678995147403029
rx,5.0,deg,+,10.746828375041343,10.371576764474344,12.757793000424854,13.311923536614497,10.481833603996431,10.432110381628657,10.53543169277699,10.375040144826816,10.708480479715481,10.194730338203206,10.977866378183204,10.009767101891267,11.154910132799595,10.04043060999674,11.183309269579983,10.555496950708058,11.042676386897666,10.823568944650438,11.304622687842686,11.221849603341951,11.653957668663633
