sigma_rot_deg,sigma_trans_mm,trial,mean_cm,median_cm,p95_cm,max_cm,drx_rad,dry_rad,drz_rad,dtx_m,dty_m,dtz_m,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
0.1,1,0,0.3740190349646185,0.369478133456428,0.43708878094692083,0.45541562751333414,0.0005318316328776981,-0.0018151146822307155,0.0013097844242351343,0.0009405647163912139,-0.0019510351886538365,-0.001302179506862318,0.34507977092802994,0.3414864949523383,0.34351492913222503,0.3381869792650234,0.3429916232856079,0.3494576043956824,0.3567937796347028,0.36328596792021817,0.37327486260863213,0.37713170945942637,0.38468726791377755,0.38529514843858015,0.3895178703607446,0.40660963949203943,0.4111101296499795,0.42323692380828837,0.4266628931532181
0.1,1,1,0.17035868419389896,0.1673273695281405,0.17954469559678723,0.18665894279985387,0.0002231235952346117,-0.000551947447143772,-2.9323551659599282e-05,-0.0008530439275735801,0.0008793979748628286,0.0007777919354289483,0.1698725289741286,0.16975827317475173,0.16955632080612718,0.16995992552240266,0.1696290772757683,0.17135630865004287,0.17064366025220298,0.17230889665483046,0.17103338620517788,0.17193422982270057,0.1705898339274533,0.17176600297189903,0.17142166782628243,0.1703417518007462,0.1701545032963556,0.16772711371766655,0.16804415041774598
0.1,1,2,0.40415056825230167,0.4055956368216852,0.4536626792232874,0.4690887512750165,0.000115245307983181,0.001967407052574702,0.0008159577306131238,-0.0008592924628832382,0.00036875078408249884,-0.000958882600828999,0.42147055431696195,0.4223597432039215,0.4226147285075566,0.42340131984617885,0.4252243751631763,0.41685468403852627,0.4232145894430479,0.4069913701218569,0.4158764586774834,0.3969405756402669,0.407788079526991,0.3978277099954635,0.4023778125442064,0.3790413107113951,0.3836927326108788,0.35931511398380894,0.36556850195740803
0.1,1,3,0.17487325461925074,0.17593950939097458,0.19808766517887716,0.20828533818487713,0.0015331850072948154,-8.713715287677225e-05,-0.00032264569068835345,-0.0006809295444039413,0.0012225413386740302,-0.00015452948206880215,0.17087165309077235,0.17022364015913155,0.17168089943677425,0.16992452159980465,0.17492262377949475,0.16729058918968734,0.17963406176596242,0.16398132800449938,0.1818531593000145,0.16295077355274137,0.18097763392004204,0.17188808107440873,0.17963612631914672,0.17513540406587433,0.1828283493526108,0.18094183786842688,0.18810464604787072
0.1,1,4,0.18546107044282428,0.1850015546541725,0.22772523892904323,0.24500274703588426,-0.0007475730774642961,-0.0006145889862757293,0.0009290547926515369,0.00036544406436407834,0.0004127326115959884,0.00043082100300788275,0.1710792096699553,0.16987734705229876,0.17046599154775627,0.17046393531967888,0.1731673919313667,0.1749621863731756,0.18150116906425529,0.17933977546775257,0.18751666704395084,0.18219310036270048,0.1893357123786795,0.1891865563640309,0.19272635215471795,0.1987823329671616,0.2020163054182505,0.20886476966923465,0.21135939474304735
0.1,1,5,0.5298231428173311,0.5348835339647021,0.583115957230299,0.6259735822248256,0.0037378802052626925,-0.0007093280165458243,-0.0008940322191699603,-0.0008137727282478777,0.0006159794225754957,0.0011289722927208916,0.5158858290911031,0.51403115843507,0.5171858950940303,0.51385213294945,0.5252215103214906,0.5107225808130555,0.5389293356490588,0.5055716955530093,0.54579681850879,0.5034891640099104,0.543873636204427,0.5255871772157625,0.5433451301983468,0.5348712782756183,0.5525896072696089,0.5496689267068577,0.5663715515990404
0.1,1,6,0.29382593548828906,0.30083463452714176,0.348095362419853,0.3599380223564884,-0.00019887583103543865,-0.0014663496754952002,-0.0014389911834657666,0.0006505927878247011,0.0007432541712034423,0.000543154268305195,0.32556178455980295,0.32781782078912886,0.3278775832165585,0.3292240543929327,0.33021911833677614,0.3159837754880616,0.3213552600473567,0.29885424296138524,0.30688119238133443,0.2835620532579523,0.2947372363885682,0.28119083802796757,0.28520632093435483,0.2529708798591529,0.25686622277809446,0.2255489044780358,0.23118361540345042
0.1,1,7,0.20474148623045813,0.20565582396141746,0.22226739493740452,0.22996156049998137,-0.001161533559617142,0.0004051979483300519,0.0002036551559859403,0.00021868859672901294,0.0008714287779481899,0.00022359554877468226,0.20159399519561688,0.20099228210577544,0.20207559669889857,0.2006351414203727,0.2042481506997685,0.19929723295601703,0.20804487948020514,0.19739523372697296,0.21006204444992496,0.19684035913526138,0.2096289365903585,0.2032199678511466,0.20877994713888134,0.2051508061726801,0.2107759355258654,0.20821238079202506,0.2136523759780179
0.1,1,8,0.17449367140214397,0.17845722194037977,0.21680402508821936,0.22405948180303326,0.0011849277012050755,0.00011794772680151975,0.0005046085438526404,0.0006312882258385404,-0.0014571558198556666,-0.0003196712163573013,0.1774264513982806,0.17721713805075182,0.17875063204650776,0.17572884655755128,0.18024833383728636,0.1697054865858513,0.18022230997236507,0.16402382741112775,0.1803234807426473,0.16383405241147547,0.18065982685235088,0.16848824551320948,0.1753916344404441,0.16893581421123635,0.17591781213182855,0.17161083495752139,0.17790768671601262
0.1,1,9,0.1926332662824996,0.193196574807558,0.22777777412342526,0.2352589279589073,-0.0008209551528754322,-0.0011150521969902987,-0.00048021381952550383,0.001494941311234396,-0.0008658311156932432,0.0009682783545914808,0.20608874722666004,0.20681943569322492,0.20732047573553042,0.20746857133867397,0.20989498372356263,0.20072333649157667,0.2081316347078627,0.19178660302422365,0.20235517929107072,0.18438659114476844,0.19658715616495004,0.18580145836716938,0.1908480372606893,0.17267440006554008,0.1776619127337476,0.16029184389194823,0.16592515994129411
