sync_index,camera,pts_ns,arrival_ns,corrected_ns,offset_from_mean_ns,spread_ns
65,1,1668030816100000,1668030840607333,1668030831869834,-10288437,20576874
66,0,1668030814380000,1668030875294750,1668030885786708,1958437,3916874
66,1,1668030866100000,1668030888738958,1668030881869834,-1958437,3916874
67,0,1668030847720000,1668030908493916,1668030919126708,1628437,3256874
67,1,1668030900100000,1668030921679416,1668030915869834,-1628437,3256874
68,0,1668030914390000,1668030969077708,1668030985796708,9963437,19926874
68,1,1668030950100000,1668030968857541,1668030965869834,-9963437,19926874
69,0,1668030947730000,1668031001901458,1668031019136708,10133437,20266874
69,1,1668030983100000,1668031000765833,1668030998869834,-10133437,20266874
70,0,1668030981070000,1668031035082166,1668031052476708,1803437,3606874
70,1,1668031033100000,1668031049445541,1668031048869834,-1803437,3606874
71,0,1668031014400000,1668031068119666,1668031085806708,1968437,3936874
71,1,1668031066100000,1668031080569250,1668031081869834,-1968437,3936874
72,0,1668031047740000,1668031104473250,1668031119146708,1638437,3276874
72,1,1668031100100000,1668031113507625,1668031115869834,-1638437,3276874
73,0,1668031081080000,1668031135561125,1668031152486708,1808437,3616874
73,1,1668031133100000,1668031160704458,1668031148869834,-1808437,3616874
74,0,1668031114410000,1668031169223416,1668031185816708,1973437,3946874
74,1,1668031166100000,1668031192531791,1668031181869834,-1973437,3946874
75,0,1668031181090000,1668031236000000,1668031252496708,10313437,20626874
75,1,1668031216100000,1668031240944208,1668031231869834,-10313437,20626874
76,0,1668031214420000,1668031269191583,1668031285826708,9978437,19956874
76,1,1668031250100000,1668031272881750,1668031265869834,-9978437,19956874
77,0,1668031247760000,1668031301993916,1668031319166708,10148437,20296874
77,1,1668031283100000,1668031304713375,1668031298869834,-10148437,20296874
78,0,1668031281100000,1668031336609458,1668031352506708,1818437,3636874
78,1,1668031333100000,1668031353205458,1668031348869834,-1818437,3636874
79,0,1668031314440000,1668031369635416,1668031385846708,1988437,3976874
79,1,1668031366100000,1668031385510250,1668031381869834,-1988437,3976874
80,0,1668031347770000,1668031402402041,1668031419176708,1653437,3306874
80,1,1668031400100000,1668031416482666,1668031415869834,-1653437,3306874
81,0,1668031414450000,1668031469183166,1668031485856708,9993437,19986874
81,1,1668031450100000,1668031465869250,1668031465869834,-9993437,19986874
82,0,1668031447780000,1668031501387375,1668031519186708,10158437,20316874
82,1,1668031483100000,1668031497140666,1668031498869834,-10158437,20316874
83,0,1668031481120000,1668031536275625,1668031552526708,10328437,20656874
83,1,1668031516100000,1668031529590750,1668031531869834,-10328437,20656874
84,0,1668031514460000,1668031569244416,1668031585866708,9998437,19996874
84,1,1668031550100000,1668031576548916,1668031565869834,-9998437,19996874
85,0,1668031547800000,1668031602461458,1668031619206708,1668437,3336874
85,1,1668031600100000,1668031624702625,1668031615869834,-1668437,3336874
86,0,1668031581130000,1668031635445875,1668031652536708,1833437,3666874
86,1,1668031633100000,1668031657783333,1668031648869834,-1833437,3666874
87,0,1668031614470000,1668031671368000,1668031685876708,2003437,4006874
87,1,1668031666100000,1668031688888541,1668031681869834,-2003437,4006874
88,0,1668031681140000,1668031735522125,1668031752546708,10338437,20676874
88,1,1668031716100000,1668031736501041,1668031731869834,-10338437,20676874
89,0,1668031714480000,1668031770092583,1668031785886708,10508437,21016874
89,1,1668031749100000,1668031769603333,1668031764869834,-10508437,21016874
90,0,1668031747820000,1668031802885250,1668031819226708,10178437,20356874
90,1,1668031783100000,1668031800877250,1668031798869834,-10178437,20356874
91,0,1668031781160000,1668031835658083,1668031852566708,1848437,3696874
91,1,1668031833100000,1668031849172541,1668031848869834,-1848437,3696874
92,0,1668031814490000,1668031869382083,1668031885896708,2013437,4026874
92,1,1668031866100000,1668031881302250,1668031881869834,-2013437,4026874
93,0,1668031847830000,1668031902759958,1668031919236708,1683437,3366874
93,1,1668031900100000,1668031913702250,1668031915869834,-1683437,3366874
94,0,1668031881170000,1668031935529791,1668031952576708,1853437,3706874
94,1,1668031933100000,1668031961290291,1668031948869834,-1853437,3706874
95,0,1668031914500000,1668031968895458,1668031985906708,2018437,4036874
95,1,1668031966100000,1668031992789541,1668031981869834,-2018437,4036874
96,0,1668031981180000,1668032036703000,1668032052586708,10358437,20716874
96,1,1668032016100000,1668032040469958,1668032031869834,-10358437,20716874
97,0,1668032014510000,1668032069877291,1668032085916708,10523437,21046874
97,1,1668032049100000,1668032072856625,1668032064869834,-10523437,21046874
98,0,1668032047850000,1668032102759333,1668032119256708,10193437,20386874
98,1,1668032083100000,1668032104364208,1668032098869834,-10193437,20386874
99,0,1668032081190000,1668032136139791,1668032152596708,1863437,3726874
99,1,1668032133100000,1668032153020750,1668032148869834,-1863437,3726874
