# cameras: 0=6C707041-05AC-0010-0006-000000000001,1=0x11000000525a4b1
sync_index,port,frame_index,frame_time
0,0,0,0.002484207972884178
0,1,0,0.002484207972884178
1,0,1,0.15607054193969816
1,1,1,0.15607054193969816
2,0,2,0.16167191695421934
2,1,2,0.16167191695421934
3,0,3,0.1732763749314472
3,1,3,0.1732763749314472
4,0,4,0.17958954197820276
4,1,4,0.17958954197820276
5,0,5,0.19335887499619275
5,1,5,0.19335887499619275
6,0,6,0.20833862491417676
6,1,6,0.20833862491417676
7,0,7,0.24614183290395886
7,1,7,0.24614183290395886
8,0,8,0.2766611248953268
8,1,8,0.2766611248953268
9,0,9,0.3108030000003055
9,1,9,0.3108030000003055
10,0,10,0.3450624579563737
10,1,10,0.3450624579563737
11,0,11,0.37576833297498524
11,1,11,0.37576833297498524
12,0,12,0.40567883290350437
12,1,12,0.40567883290350437
13,0,13,0.4376221669372171
13,1,13,0.4376221669372171
14,0,14,0.4709113748976961
14,1,14,0.4709113748976961
15,0,15,0.504909791983664
15,1,15,0.504909791983664
16,0,16,0.539954041945748
16,1,16,0.539954041945748
17,0,17,0.5701275418978184
17,1,17,0.5701275418978184
18,0,18,0.6059302499052137
18,1,18,0.6059302499052137
19,0,19,0.6389894169988111
19,1,19,0.6389894169988111
20,0,20,0.6751482079271227
20,1,20,0.6751482079271227
21,0,21,0.7055542919551954
21,1,21,0.7055542919551954
22,0,22,0.7385821669595316
22,1,22,0.7385821669595316
23,0,23,0.7684257499640808
23,1,23,0.7684257499640808
24,0,24,0.8031695829704404
24,1,24,0.8031695829704404
25,0,25,0.8399329169187695
25,1,25,0.8399329169187695
26,0,26,0.8709727079840377
26,1,26,0.8709727079840377
27,0,27,0.9049787078984082
27,1,27,0.9049787078984082
28,0,28,0.9399073749082163
28,1,28,0.9399073749082163
29,0,29,0.9713975829072297
29,1,29,0.9713975829072297
30,0,30,1.000718207913451
30,1,30,1.000718207913451
31,0,31,1.039110374986194
31,1,31,1.039110374986194
32,0,32,1.0730434169527143
32,1,32,1.0730434169527143
33,0,33,1.103669042000547
33,1,33,1.103669042000547
34,0,34,1.1396683329949155
34,1,34,1.1396683329949155
35,0,35,1.1714195419335738
35,1,35,1.1714195419335738
36,0,36,1.2036040829261765
36,1,36,1.2036040829261765
37,0,37,1.2399662499083206
37,1,37,1.2399662499083206
38,0,38,1.2728587499586865
38,1,38,1.2728587499586865
39,0,39,1.3049671669723466
39,1,39,1.3049671669723466
40,0,40,1.3379909999202937
40,1,40,1.3379909999202937
41,0,41,1.3728412499185652
41,1,41,1.3728412499185652
42,0,42,1.4034153328975663
42,1,42,1.4034153328975663
43,0,43,1.438994999974966
43,1,43,1.438994999974966
44,0,44,1.4707444999366999
44,1,44,1.4707444999366999
45,0,45,1.5068744579330087
45,1,45,1.5068744579330087
46,0,46,1.5363680829759687
46,1,46,1.5363680829759687
47,0,47,1.5720918748993427
47,1,47,1.5720918748993427
48,0,48,1.604810957913287
48,1,48,1.604810957913287
49,0,49,1.6372020419221371
49,1,49,1.6372020419221371
50,0,50,1.6737014999380335
50,1,50,1.6737014999380335
51,0,51,1.7050598749192432
51,1,51,1.7050598749192432
52,0,52,1.739472874905914
52,1,52,1.739472874905914
53,0,53,1.7704568329500034
53,1,53,1.7704568329500034
54,0,54,1.8013223329326138
54,1,54,1.8013223329326138
55,0,55,1.8384894999908283
55,1,55,1.8384894999908283
56,0,56,1.8707962919725105
56,1,56,1.8707962919725105
57,0,57,1.9061254169791937
57,1,57,1.9061254169791937
58,0,58,1.9370689999777824
58,1,58,1.9370689999777824
59,0,59,1.9723892079200596
59,1,59,1.9723892079200596
60,0,60,2.004403582890518
60,1,60,2.004403582890518
61,0,61,2.0373331669252366
61,1,61,2.0373331669252366
62,0,62,2.0711976669263095
62,1,62,2.0711976669263095
63,0,63,2.103897832916118
63,1,63,2.103897832916118
64,0,64,2.1399147919146344
64,1,64,2.1399147919146344
65,0,65,2.1709004578879103
65,1,65,2.1709004578879103
66,0,66,2.2058784579858184
66,1,66,2.2058784579858184
67,0,67,2.2373937079682946
67,1,67,2.2373937079682946
68,0,68,2.2707421249942854
68,1,68,2.2707421249942854
69,0,69,2.3058695419458672
69,1,69,2.3058695419458672
70,0,70,2.3380322919692844
70,1,70,2.3380322919692844
71,0,71,2.3705436669988558
71,1,71,2.3705436669988558
72,0,72,2.4039842499187216
72,1,72,2.4039842499187216
73,0,73,2.4395216669654474
73,1,73,2.4395216669654474
74,0,74,2.471574499970302
74,1,74,2.471574499970302
75,0,75,2.5045197498984635
75,1,75,2.5045197498984635
76,0,76,2.5392062918981537
76,1,76,2.5392062918981537
77,0,77,2.570106832892634
77,1,77,2.570106832892634
78,0,78,2.60302487493027
78,1,78,2.60302487493027
79,0,79,2.638636832940392
79,1,79,2.638636832940392
80,0,80,2.6712114999536425
80,1,80,2.6712114999536425
81,0,81,2.7037174169672653
81,1,81,2.7037174169672653
82,0,82,2.7373172499937937
82,1,82,2.7373172499937937
83,0,83,2.7710122499847785
83,1,83,2.7710122499847785
84,0,84,2.8048001669812948
84,1,84,2.8048001669812948
85,0,85,2.836929666926153
85,1,85,2.836929666926153
86,0,86,2.8725061669247225
86,1,86,2.8725061669247225
87,0,87,2.904134999960661
87,1,87,2.904134999960661
88,0,88,2.9394307079492137
88,1,88,2.9394307079492137
89,0,89,2.9709194999886677
89,1,89,2.9709194999886677
90,0,90,3.005335749941878
90,1,90,3.005335749941878
91,0,91,3.037625541910529
91,1,91,3.037625541910529
92,0,92,3.0714259169762954
92,1,92,3.0714259169762954
93,0,93,3.103391374927014
93,1,93,3.103391374927014
94,0,94,3.1398094999603927
94,1,94,3.1398094999603927
95,0,95,3.172743041999638
95,1,95,3.172743041999638
96,0,96,3.201650249888189
96,1,96,3.201650249888189
97,0,97,3.2376003329409286
97,1,97,3.2376003329409286
98,0,98,3.2722342079505324
98,1,98,3.2722342079505324
99,0,99,3.3029527079779655
99,1,99,3.3029527079779655
100,0,100,3.3392450829269364
100,1,100,3.3392450829269364
101,0,101,3.3721159999258816
101,1,101,3.3721159999258816
102,0,102,3.4041514579439536
102,1,102,3.4041514579439536
103,0,103,3.4391471249982715
103,1,103,3.4391471249982715
104,0,104,3.4678763329284266
104,1,104,3.4678763329284266
105,0,105,3.504253541934304
105,1,105,3.504253541934304
106,0,106,3.538558291969821
106,1,106,3.538558291969821
107,0,107,3.570775416912511
107,1,107,3.570775416912511
108,0,108,3.6023434998933226
108,1,108,3.6023434998933226
109,0,109,3.638904874911532
109,1,109,3.638904874911532
110,0,110,3.6699792499421164
110,1,110,3.6699792499421164
111,0,111,3.706202332978137
111,1,111,3.706202332978137
112,0,112,3.736735124955885
112,1,112,3.736735124955885
113,0,113,3.7691539579536766
113,1,113,3.7691539579536766
114,0,114,3.801986207952723
114,1,114,3.801986207952723
115,0,115,3.8386617079377174
115,1,115,3.8386617079377174
116,0,116,3.8702956669731066
116,1,116,3.8702956669731066
117,0,117,3.9053696249611676
117,1,117,3.9053696249611676
118,0,118,3.939735541935079
118,1,118,3.939735541935079
119,0,119,3.9718289169250056
119,1,119,3.9718289169250056
120,0,120,4.003563207923435
120,1,120,4.003563207923435
121,0,121,4.037478874903172
121,1,121,4.037478874903172
122,0,122,4.072021499974653
122,1,122,4.072021499974653
123,0,123,4.105419082916342
123,1,123,4.105419082916342
124,0,124,4.137250749976374
124,1,124,4.137250749976374
125,0,125,4.1715131249511614
125,1,125,4.1715131249511614
126,0,126,4.203804416931234
126,1,126,4.203804416931234
127,0,127,4.238644749973901
127,1,127,4.238644749973901
128,0,128,4.270105957984924
128,1,128,4.270105957984924
129,0,129,4.305594874895178
129,1,129,4.305594874895178
130,0,130,4.338178832898848
130,1,130,4.338178832898848
131,0,131,4.372147582937032
131,1,131,4.372147582937032
132,0,132,4.404555582907051
132,1,132,4.404555582907051
133,0,133,4.436780707910657
133,1,133,4.436780707910657
134,0,134,4.470051166950725
134,1,134,4.470051166950725
135,0,135,4.5037480829050764
135,1,135,4.5037480829050764
136,0,136,4.537128374911845
136,1,136,4.537128374911845
137,0,137,4.572126166895032
137,1,137,4.572126166895032
138,0,138,4.6044709999114275
138,1,138,4.6044709999114275
139,0,139,4.638814582955092
139,1,139,4.638814582955092
140,0,140,4.673275041976012
140,1,140,4.673275041976012
141,0,141,4.706416874891147
141,1,141,4.706416874891147
142,0,142,4.734856374911033
142,1,142,4.734856374911033
143,0,143,4.772194332908839
143,1,143,4.772194332908839
144,0,144,4.805675582960248
144,1,144,4.805675582960248
145,0,145,4.837107249884866
145,1,145,4.837107249884866
146,0,146,4.8686752918874845
146,1,146,4.8686752918874845
147,0,147,4.9062027499312535
147,1,147,4.9062027499312535
148,0,148,4.937417166889645
148,1,148,4.937417166889645
149,0,149,4.972606124938466
149,1,149,4.972606124938466
150,0,150,5.00486316694878
150,1,150,5.00486316694878
151,0,151,5.038989207940176
151,1,151,5.038989207940176
152,0,152,5.071986374910921
152,1,152,5.071986374910921
153,0,153,5.106372374924831
153,1,153,5.106372374924831
154,0,154,5.13686308299657
154,1,154,5.13686308299657
